Source Term,Source Term Hot Key,Target Term,Target Term Hot Key,Category,Type,Environment,Product,Comments
Delete Before Current Position,,Удалить до текущей позиции ,Д,GEN,,WIN,Standard,Can be changed in Chicago
Delete,,Удалить...,У,COM,,WIN,Standard,GUI
desktop,,оформление / экран,,GEN,,WIN,Standard,Can be changed in Chicago
destination application,,приложение-получатель,,GEN,,WIN,Standard,GUI
destination document,,документ-получатель,,GEN,,WIN,Standard,GUI
Device,,Устройство,У,GEN,,WIN,Standard,GUI
dialog box,,окно диалога / диалоговое окно / диалог,,GEN,,WIN,Standard,GUI
dialog box title,,заголовок окна диалога / диалогового окна / диалога,,GEN,,WIN,Standard,GUI
Direction,,Направление,,GEN,,WIN,Standard,GUI
Directories,,Каталоги,К,GEN,,WIN,Standard,GUI
directory icon,,значок каталога,,GEN,,WIN,Standard,GUI
disk icon,,значок диска,,GEN,,WIN,Standard,GUI
document file icon,,значок файла документа,,GEN,,WIN,Standard,GUI
document icon,,значок документа,,GEN,,WIN,Standard,GUI
document window,,окно документа,,GEN,,WIN,Standard,GUI
Document,,Документ...,Д,COM,,WIN,Standard,GUI
Done,,Готово!,,GEN,,WIN,Standard,GUI
double underline,,двойное подчеркивание ,,GEN,,WIN,Standard,GUI
double-click,,двойной щелчок / дважды нажать кнопку мыши / дважды щелкнуть мышью на ...,,GEN,,WIN,Standard,GUI
Down,,Вниз,Н,GEN,,WIN,Standard,GUI
DOWN ARROW,,СТРЕЛКА ВНИЗ,,KEY,,WIN,Standard,GUI
down scroll arrow,,стрелка прокрутки вниз,,GEN,,WIN,Standard,GUI
drag,,тащить,,GEN,,WIN,Standard,GUI
drag-and-drop,,перетащить / протащить (-и-оставить),,GEN,,WIN,Standard,GUI
drive icon,,значок диска (устройства / накопителя / дисковода),,GEN,,WIN,Standard,GUI
Drives,,Диски (устройства / накопители / дисководы),,GEN,,WIN,Standard,GUI
drop,,оставить / отпустить кнопку мыши,,GEN,,WIN,Standard,GUI
drop-down combo box,,поле с раскрывающимся списком,,GEN,,WIN,Standard,GUI
drop-down list box,,раскрывающийся список,,GEN,,WIN,Standard,GUI
drop-down menu,,раскрывающееся меню,,GEN,,WIN,Standard,GUI
Edit,,Правка,,MNU,,WIN,Standard,GUI
Edit,,Правка,П,COM,,WIN,Standard,GUI
ellipsis,,многоточие,,GEN,,WIN,Standard,GUI
