bullet,,puce,,GEN,N,WIN,Standard,new since Word6,
busy,,occupé,,GEN,ADJ,WIN,Standard,re. phone lines etc.,
button,,bouton,,GEN,N,WIN,Standard,GUI Guide,
byte,,octet,,GEN,N,WIN,Standard,,"A unit of information, consisting of 8 bits."
cache ,,disque antémémoire,,GEN,N,WIN,Standard,"In English, use ""disk cache"" instead.",A special memory subsystem in which frequently used data values are duplicated for quick access.
CAD (Computer-aided/assisted design),,CAO (Conception assistée par ordinateur),,GEN,N,WIN,Standard,,
CAE (Computer-aided/assisted engineering),,IAO (Ingénierie assistée par ordinateur,,GEN,N,WIN,Standard,,
CAI (Computer-aided/assisted instruction),,EAO (Enseignement assisté  par ordinateur),,GEN,N,WIN,Standard,,
CAL (Computer-aided/assisted learning),,EAO (Enseignement assisté  par ordinateur),,GEN,N,WIN,Standard,,
Calculator,,Calculatrice,,GEN,N,WIN,Standard,,
Calendar,,Calendrier / agenda,,GEN,N,WIN,Standard,Check product & context,
callback ,,rappel,,GEN,N,WIN,Standard,,
callout,,légende / libellé,,GEN,N,WIN,Standard,Style Guide,
CAM (Computer-aided/assisted Manufacturing),,FAO (Fabrication assistée par ordinateur),,GEN,,WIN,Standard,,
Cancel,,Annuler,,COM,,WIN,Standard,GUI Guide,
cancel,,annuler,,GEN,V,WIN,Standard,GUI Guide,
capitalize,,mettre en majuscules,,GEN,V,WIN,Standard,,
CAPS LOCK,,VERROUILLAGE MAJUSCULE (VERR.MAJ),,KEY,,WIN,Standard,GUI Guide,
caption,,légende,,GEN,N,WIN,Standard,,
Cardfile,,Répertoire,,COM,,WIN,Standard,GUI Guide,
caret,,signe ^ / signe insertion,,GEN,N,WIN,Standard,
carriage return,,retour chariot,,GEN,,WIN,Standard,
Cascade,,Cascade,,COM,,WIN,Standard,GUI Guide
cascading menu,,menu en cascade,,GEN,,WIN,Standard,GUI Guide
cascading windows,,fenêtres en cascade,,GEN,,WIN,Standard,GUI Guide
CASE (Computer-aided/assisted software engineering),,GLAO (Génie logiciel assisté par ordinateur),,GEN,,WIN,Standard,
Case sensitive,,respect de la casse,,GEN,,WIN,Standard,
CBT (Computer-based tutorial),,didacticiel,,GEN,,WIN,Standard,
CD-ROM (Compact disc read-only memory),,CD-ROM,,GEN,,WIN,Standard,
CD-ROM drive,,lecteur de CD-ROM,,GEN,,WIN,Standard,
cell,,cellule,,GEN,,WIN,Standard,
Centered,,Centré,,OPT,ADJ,WIN,Standard,GUI Guide
CGA (color graphics adapter),,CGA,,GEN,,WIN,Standard,GUI Guide
change,,modifier,,GEN,V,WIN,Standard,GUI Guide
chapter title,,titre de chapitre,,GEN,N,WIN,Standard,Style Guide
character,,caractère,,GEN,N,WIN,Standard,Style Guide
Character,,Caractère,,COM,,WIN,Standard,GUI Guide
character map,,table des caractères,,GEN,N,WIN,Standard,GUI Guide
character set,,jeu de caractères,,GEN,N,WIN,Standard,
chart,,graphique,,GEN,N,WIN,Standard,
check,,cocher,,GEN,V,WIN,Standard,"GUI Guide; watch for other meanings in Eng.: arrêter, enrayer, vérifier, contrôler"
check box,,case à cocher,,GEN,N,WIN,Standard,Style Guide
check mark,,coche,,GEN,N,WIN,Standard,GUI Guide
checked command,,commande cochée,,GEN,,WIN,Standard,
chevrons,,guillemets,,GEN,N,WIN,Standard,"At MS, the US term for French quotation marks.  N.B. ""chevrons"" in Frn mean the < and > characters."
child,,enfant,,GEN,,WIN,Standard,
choose,,choisir,,GEN,V,WIN,Standard,Use for commands and command buttons.  See Style Guide
choosing an icon,,cliquer sur une icône,,GEN,,WIN,Standard,Style Guide
class,,classe,,GEN,N,WIN,Standard,
CLEAR,,EFFACER,,KEY,,WIN,Standard,
Clear,,Effacer,,COM,,WIN,Standard,
clear,,effacer,,GEN,V,WIN,Standard,GUI Guide
Clear All,,Effacer tout,,COM,,WIN,Standard,GUI Guide,
click,,cliquer,,GEN,V,WIN,Standard,"N.B. ""cliquer le bouton droit de la souris"" and ""cliquer sur l'icône...""",
client,,client,,GEN,N,WIN,Standard,"See also ""container"" for OLE.",
Clipboard,,Presse-papiers,,GEN,N,WIN,Standard,GUI Guide,
Clipboard Viewer,,Presse-papiers,,GEN,N,WIN,Standard,GUI Guide,
clock,,horloge,,GEN,N,WIN,Standard,GUI Guide,
Close,,Fermeture,,COM,,WIN,Standard,GUI Guide,
Close,,Fermer,,COM,V,WIN,Standard,GUI Guide,
