"Answers to common questions, tips; and guides to terminology, commands, and the keyboard.",,,"Svar på de mest almindelige spørgsmål, nyttige tip og hjælp til Word-termer, kommandoer og tastaturet.",,TXT,,WIN,Standard,Main Help opening screen. See HELP.HLP
antonym,,,antonym,,GEN,,WIN,Standard,
API,,,API,,GEN,,WIN,Standard,"EDB-LEX: ""et API"". (""et interface"")."
Apostrophe,,,apostrof,,GEN,,WIN,Standard,'
Apple Macintosh series,,,Apple Macintosh-serien,,GEN,,WIN,Standard,re: disks. See also DISKETTE.DOC. This is localized. One exception: When it is used in connection with the logo on packages.
Apple menu,,,Apple-menu,,MNU,,WIN,Standard,GUI
Apple menu icon,,,Apple-ikon,,GEN,,WIN,Standard,GUI
application,,,program,,GEN ,,WIN,Standard,"Use ""program"" over ""applikation"" whereever possible. See Danish Style Guide for definition. Base decision on which term to choose on a case-to-case basis. "
application icon,,,programikon,,GEN,,WIN,Standard,GUI
application name,,,programnavn,,GEN,,WIN,Standard,
application window,,,programvindue,,GEN,,WIN,Standard,GUI
application workspace,,,programarbejdsområde,,GEN,,WIN,Standard,GUI
Applications,,,Programmer,,GEN,,WIN,Standard,GUI
Apply,,,Anvend,,BUT,,WIN,Standard,GUI
apply,,,anvende,,GEN,V,WIN,Standard,
applying a font,,,anvende en skrifttype,,GEN,V,WIN,Standard,
applying a style,,,anvende en typografi,,GEN,V,WIN,Standard,
Aqua/Cyan,,,Akvamarin,,GEN,,WIN,Standard,
Arabic,,,arabisk,,GEN,,WIN,Standard,
arbitrary,,,vilkårlig,,GEN,,WIN,Standard,
archive,,,arkiv,,GEN,,WIN,Standard,
arrange,,,arrangere,,GEN,V,WIN,Standard,GUI
Arrange all,a,,Arranger alle ,a,COM,,WIN,Standard,GUI
arrow,,,pil,,GEN,,WIN,Standard,GUI
arrow pointer,,,pilmarkør,,GEN,,WIN,Standard,GUI
art,,,grafik,,GEN,,WIN,Standard,
assign,,,tildele,,GEN,V,WIN,Standard,
Assign to key,,,Tildel tast  ,t,COM,,WIN,Standard,GUI
Assign to menu,,,Tildel menu ,m,COM,,WIN,Standard,GUI
Asterisk,,,stjerne,,GEN,,WIN,Standard,*
asynchronous,,,asynkron,,GEN,,WIN,Standard,
at bottom,,,nederst,,GEN,,WIN,Standard,
At sign,,,@-tegn,,GEN,,WIN,Standard,@
at top,,,øverst,,GEN,,WIN,Standard,
Attention,,,Obs!,,GEN,,WIN,Standard,Alert message
Australia,,,Australien,,GEN,,WIN,Standard,
Australian English,,,engelsk (australsk),,GEN,,WIN,Standard,
Austria,,,Østrig,,GEN,,WIN,Standard,
Austrian German,,,tysk (østrigsk),,GEN,,WIN,Standard,
authorized workstations,,,antal autoriserede arbejdsstationer:,,GEN,,WIN,Standard,Imprint text for packaging. See Lingua server \standard\legal\imprint
auto ,,,automatisk,,GEN,,WIN,Standard,
automatic,,,automatisk,,GEN,,WIN,Standard,
automatic link,,,automatisk kæde,,GEN,,WIN,Standard,GUI
automatic scrolling,,,automatisk rulning,,GEN,,WIN,Standard,A technique where a display area automatically scrolls without direct interaction with a scroll bar.   
autoscroll,,,automatisk rulning,,GEN,,WIN,Standard,GUI
Available memory,,,Tilgængelig hukommelse,,TXT,,WIN,Standard,
Available support options so that you can get the most from your Microsoft product.,,,"Oplysninger om, hvordan du kan få teknisk support, så du kan udnytte dit Microsoft-produkt optimalt.",,TXT,,WIN,Standard,Main Help opening screen. See HELP.HLP
B4 Envelope,,,B4-konvolut,,GEN,,WIN,Standard,See ENVELOPE.DOC
B5 Envelope,,,B5-konvolut,,GEN,,WIN,Standard,See ENVELOPE.DOC
B6 Envelope,,,B6-konvolut,,GEN,,WIN,Standard,See ENVELOPE.DOC
Back,b,,Tilbage  ,t,BUT,,WIN,Standard,GUI - i Hjælp
Back,b,,Tilbage,t,BUT,,WIN,Standard,Standard button in wizards
back,,,bagest,,GEN,,WIN,Standard,"There are two possible spellings of ""bagest"". This the one MS uses."
back up,,,sikkerhedskopi,,GEN,,WIN,Standard,
back up copy,,,sikkerhedskopi,,GEN,,WIN,Standard,
back up copy file,,,sikkerhedskopi,,GEN,,WIN,Standard,
Backslash,,,omvendt skråstreg,,GEN,,WIN,Standard,\
BACKSPACE,,,TILBAGE,,KEY,,WIN,Standard,GUI
backup ,,,sikkerhedskopi,,GEN,N,WIN,Standard,
backup ,,,sikkerhedskopiere,,GEN,V,WIN,Standard,
Backup Disk,,,Sikkerhedskopi,,GEN,,WIN,Standard,
backup of,,,sikkerhedskopi af,,GEN,,WIN,Standard,
backup program,,,sikkerhedskopieringsprogram,,GEN,,WIN,Standard,
backward,,,tilbage,,GEN,,WIN,Standard,
Bahasa,,,bahasa,,GEN,,WIN,Standard,
Balloon Help,,,Hjælpebobler,,GEN,,MAC,Standard,Macintosh
BallPoint Mouse,,,BallPoint Mouse,,GEN,,WIN,Standard,
