Combo box,,Casella combinata,,GEN,,WIN,STANDARD,
Command,,Comando,,GEN,,WIN,STANDARD,
Command button,,Pulsante di comando,,GEN,,WIN,STANDARD,
Command separator,,Segno di separazione dei comandi,,GEN,,WIN,STANDARD,Parte dello schermo.
Container application,,Applicazione client,,GEN,,WIN,STANDARD,
Container document,,Documento client,,GEN,,WIN,STANDARD,
Contents,,Sommario,,BUT,,WIN,STANDARD,
Contents,,Sommario,,COM,,WIN,STANDARD,Comando del menu ?.
CONTROL,,Ctrl,,KEY,,WIN,STANDARD,
Control menu,,Menu di controllo,,MNU,,WIN,STANDARD,
Control Panel,,Pannello di controllo,,GEN,,WIN,STANDARD,Nome applicazione Windows.
Control-menu box,,Casella del menu di controllo,,GEN,,WIN,STANDARD,Parte dello schermo.
Copies,,Numero copie,,DIA,,WIN,STANDARD,Etichetta finestra di dialogo.
Copy,,Copia,,COM,,WIN,STANDARD,
Copy,,Copiare,,GEN,,WIN,STANDARD,
Copy Special,,Copia speciale,,COM,,WIN,STANDARD,
Create,,Crea,,BUT,,WIN,STANDARD,
Crop,,Ritagliare,,GEN,,WIN,STANDARD,
Cross-hair pointer,,Mirino,,GEN,,WIN,STANDARD,Forma del puntatore.
CTRL,,Ctrl,,KEY,,WIN,STANDARD,
CTRL+B,,Ctrl+g,,KEY,,WIN,STANDARD,Grassetto; combinazione di tasti di scelta rapida.
CTRL+C,,Ctrl+c,,KEY,,WIN,STANDARD,Copia; combinazione di tasti di scelta rapida.
CTRL+D,,Ctrl+d,,KEY,,WIN,STANDARD,Sottolineato doppio; combinazione di tasti di scelta rapida.
CTRL+E,,Ctl+a,,KEY,,WIN,STANDARD,Allinea al centro; combinazione di tasti di scelta rapida.
CTRL+I,,Ctrl+i,,KEY,,WIN,STANDARD,Corsivo; combinazione di tasti di scelta rapida.
CTRL+J,,Ctrl+f,,KEY,,WIN,STANDARD,Giustifica; combinazione di tasti di scelta rapida.
CTRL+L,,Ctrl+t,,KEY,,WIN,STANDARD,Allinea a sinistra; combinazione di tasti di scelta rapida.
CTRL+R,,Ctrl+r,,KEY,,WIN,STANDARD,Allinea a destra; combinazione di tasti di scelta rapida.
CTRL+U,,Ctrl+s,,KEY,,WIN,STANDARD,Sottolinea; combinazione di tasti di scelta rapida.
CTRL+V,,Ctrl+v,,KEY,,WIN,STANDARD,Incolla; combinazione di tasti di scelta rapida.
CTRL+W,,Ctrl+p,,KEY,,WIN,STANDARD,Sottolinea a parola; combinazione di tasti di scelta rapida.
CTRL+X,,Ctrl+x,,KEY,,WIN,STANDARD,Taglia; combinazione di tasti di scelta rapida.
CTRL+Z,,Ctrl+z,,KEY,,WIN,STANDARD,Annulla; combinazione di tasti di scelta rapida.
Cursored emphasis,,Evidenziazione del cursore,,GEN,,WIN,STANDARD,
Customize,,Personalizza,,COM,,WIN,STANDARD,
