English,English Hotkey,Localised,Localised Hotkey,Category,Type,Environment,Product Name,Comments
As:,A,Som:,S,DIA,,WIN,Access,Ver 2.0.
Ascending,A,Stigende,S,COM,,WIN,Access,Ver 2.0. Item in a submenu
Ascending,,Stigende,,TXT,,WIN,Access,Ver 2.0. List box item
Assign,A,Tilordne,T,BUT,,WIN,Access,Ver 2.0.
Assign Permissions,,Tilordne tillatelser,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Auto,,Automatisk,,TXT,,WIN,Access,Ver 2.0. Dropdown values in listbox
Auto Activate,,Autoaktivering,,TXT,,WIN,Access,Ver 2.0. Property or event
Auto Center,,Automidtstill,,TXT,,WIN,Access,Ver 2.0. Property or event
Auto Expand,,Autoutvidelse,,TXT,,WIN,Access,Ver 2.0. Property or event
Auto Label,,Autoetikett,,TXT,,WIN,Access,Ver 2.0. Property or event
Auto Order,A,Autorekkefølge,A,BUT,,WIN,Access,Ver 2.0.
Auto Repeat,,Autogjentagelse,,TXT,,WIN,Access,Ver 2.0. Property or event
Auto Resize,,Autostørrelse,,TXT,,WIN,Access,Ver 2.0. Property or event
Auto Start,,Autostart,,ARG,,WIN,Access,Ver 2.0. Macro action argument
Auto Tab,,AutoTab,,TXT,,WIN,Access,Ver 2.0. Property or event
Autodialer,,Autooppringing,,TXT,,WIN,Access,Ver 2.0. Status bar text for menu item
AutoForm,,Autoskjema,,TXT,,WIN,Access,Ver 2.0. Status bar text for menu item
AutoKeys,,Autotaster,,TXT,,WIN,Access,Ver 2.0. Dropdown value in listbox
AutoReport,,Autorapport,,TXT,,WIN,Access,Ver 2.0. Status bar text for menu item
AutoStart,A,AutoStart,A,BUT,,WIN,Access,Ver 2.0.
Available Groups:,v,Tilgjengelige grupper:,T,DIA,,WIN,Access,Ver 2.0.
Avg,,Gjennomsnitt,,FUN,,WIN,Access,Ver 2.0.
Back Color,,Bakgrunnsfarge,,TXT,,WIN,Access,Ver 2.0. Property or event
Back Style,,Bakgrunnsstil,,TXT,,WIN,Access,Ver 2.0. Property or event
Barcode,,Strekkode,,TDB,,WIN,Access,Ver 2.0. Title of Property Box
Bcc,,Blindkopi til,,ARG,,WIN,Access,Ver 2.0. Macro Argument name
Beep,,Lydsignal,,MAC,,WIN,Access,Ver 2.0.
Before Del Confirm,,FørSlettebekreftelse,,TXT,,WIN,Access,Ver 2.0. Property or event
Before Insert,,FørInnsetting,,TXT,,WIN,Access,Ver 2.0. Property or event
Before Update,,FørOppdatering,,TXT,,WIN,Access,Ver 2.0. Property or event
Binary,,Binær,,TXT,,WIN,Access,Ver 2.0. List box item (data type)
Blank Form,,Tomt skjema,,BUT,,WIN,Access,Ver 2.0.
Blank Report,,Tom rapport,,BUT,,WIN,Access,Ver 2.0.
BOF,,FørstIFil,,TXT,,WIN,Access,Ver 2.0. Property or event
Bold,,Fet,,TXT,,WIN,Access,Ver 2.0. Dropdown value in listbox
Bookmark,,Bokmerke,,TXT,,WIN,Access,Ver 2.0. Property or event
Bookmarkable,,KanHaBokmerke,,TXT,,WIN,Access,Ver 2.0. Property or event
Both,B,Begge,B,BUT,,WIN,Access,Ver 2.0.
Bottom,B,Bunn,B,COM,,WIN,Access,Ver 2.0. Item in a submenu
Bottom Margin,,Bunnmarg,,TXT,,WIN,Access,Ver 2.0. Options Preference Items
Bottom:,B,Bunn:,u,TXB,,WIN,Access,Ver 2.0.
Bound Column,,BundetKolonne,,TXT,,WIN,Access,Ver 2.0. Property or event
Bound Object Frame,,Bundet objektramme,,TDB,,WIN,Access,Ver 2.0. Title of Property Box
Box,,Boks,,TXT,,WIN,Access,Ver 2.0. Default name prefix for new box
Break Level,,Avbruddsnivå,,TXT,,WIN,Access,Ver 2.0. Property or event
Breakpoint,,Stoppunkt,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Bring To Front,,Plasser øverst,,GBN,,WIN,Access,Ver 2.0. Tooltip text
BringToFront,,Plasser øverst,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
Browse...,B,Bla gjennom...,B,BUT,,WIN,Access,Ver 2.0.
Build Event...,,Lag hendelse...,,TXT,,WIN,Access,Ver 2.0. Status bar text for menu item or toolbar button
Built-In Functions,,Innebygde funksjoner,,TXT,,WIN,Access,Ver 2.0. Strings found in Expression Builder
Built-In Toolbars Available,,Innebygde verktøylinjer,,TXT,,WIN,Access,Ver 2.0. Options Preference Items
Button,,Knapp,,TXT,,WIN,Access,Ver 2.0. Default name prefix for new button
Buttons,,Knapper,,TXT,,WIN,Access,Ver 2.0.
Calculating . . .,,Beregner . . .,,TXT,,WIN,Access,Ver 2.0.
Calls,,Kall,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Calls...,C,Kall...,K,COM,,WIN,Access,Ver 2.0.
Can Customize Toolbars,,Kan tilpasse verktøylinjer,,TXT,,WIN,Access,Ver 2.0. Options Preference Items
Can Grow,,KanForstørres,,TXT,,WIN,Access,Ver 2.0. Property or event
Can Shrink,,KanForminskes,,TXT,,WIN,Access,Ver 2.0. Property or event
"Can't Undo	Ctrl+Z",U,"Kan ikke angre	Ctrl+Z",a,COM,,WIN,Access,Ver 2.0. Context sensitive UNDO menu command
Cancel,,Avbryt,,BUT,,WIN,Access,Ver 2.0.
Cancel,,Avbryt,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
CancelEvent,,AvbrytHendelse,,MAC,,WIN,Access,Ver 2.0.
Cascade,C,Overlappet,l,COM,,WIN,Access,Ver 2.0.
Cascade,,Overlappet,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Categories,,Kategorier,,TXT,,WIN,Access,Ver 2.0. The Property Categories control name
Category,,Kategori,,TXT,,WIN,Access,Ver 2.0. Property or event
Category:,C,Kategori:,K,DIA,,WIN,Access,Ver 2.0.
Cc,,Kopi til,,ARG,,WIN,Access,Ver 2.0. Macro Argument name
Center text within control,,Midtstill tekst innenfor kontrollen,,GBN,,WIN,Access,Ver 2.0. Tool tip text and status bar text
Center-Align Text,,Midtstill tekst,,GBN,,WIN,Access,Ver 2.0. Tool tip text and status bar text
centimeters,,centimeter,,TXT,,WIN,Access,Ver 2.0.
Change Default,C,Endre standard,d,COM,,WIN,Access,Ver 2.0.
Change Default,,Endre standard,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Change Icon...,I,Endre ikon...,i,BUT,,WIN,Access,Ver 2.0.
Change Link,,Endre kobling,,TXT,,WIN,Access,Ver 2.0.
Change Owner,,Bytt eier,,TDB,,WIN,Access,Ver 2.0.
Change Owner,,Bytt eier,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Change Owner...,h,Bytt eier...,y,COM,,WIN,Access,Ver 2.0.
Change Password,,Endre passord,,TDB,,WIN,Access,Ver 2.0.
Change Password,,Endre passord,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Change Password...,C,Endre passord...,E,COM,,WIN,Access,Ver 2.0.
Change to Picture,,Endre til bilde,,TXT,,WIN,Access,Ver 2.0. Status bar text
ChangeDefault,,Endre standard,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
ChangePassword,,Endre passord,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
Check Box,,Avkrysningsboks,,TDB,,WIN,Access,Ver 2.0. Title of Property Box
Choose a set of properties to be displayed,,Velg et sett med egenskaper som skal vises,,TXT,,WIN,Access,Ver 2.0. Status bar text
Class,,Klasse,,TXT,,WIN,Access,Ver 2.0. Property or event
Clear Password,l,Fjern passord,o,BUT,,WIN,Access,Ver 2.0.
ClearAll,,Fjern alt,,TXT,,WIN,Access,Ver 2.0. Menu/toolbar button command name (only appears in error messageboxes when command cannot complete)
Close,,Lukk,,MAC,,WIN,Access,Ver 2.0.
Close,C,Lukk,L,COM,,WIN,Access,Ver 2.0.
Close,,Lukk,,BUT,,WIN,Access,Ver 2.0.
Close Database,C,Lukk database,L,COM,,WIN,Access,Ver 2.0.
Close Window,,Lukk vindu,,TXT,,WIN,Access,Ver 2.0. Status bar text for menu item
CloseDatabase,,Lukk database,,FUN,,WIN,Access,Ver 2.0. DDE function name
Code,,Kode,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Code Builder,,Kodeverktøy,,TXT,,WIN,Access,Ver 2.0. List box item: type of builder that user can call
Code...,C,Kode...,o,COM,,WIN,Access,Ver 2.0.
Collate Copies,i,Sorter kopier,r,BUT,,WIN,Access,Ver 2.0.
Collate Copies,,Sorter kopier,,ARG,,WIN,Access,Ver 2.0. Macro Argument name
Color Buttons,o,Fargeknapper,F,BUT,,WIN,Access,Ver 2.0.
Color Buttons on Toolbars,,Fargeknapper på verktøylinjen,,TXT,,WIN,Access,Ver 2.0. Options Preference Items
Color:,C,Farge:,F,DIA,,WIN,Access,Ver 2.0.
Coltyp,,Kolonnetype,,TXT,,WIN,Access,Ver 2.0. Property or event
Column,,Kolonne,,TXT,,WIN,Access,Ver 2.0. Default name prefix for new column
