English,English Hotkey,Localised,Localised Hotkey,Category,Type,Environment,Product Name,Comments
"Dates, Times, and Numbers",,"Dato, klokkeslett og tall",,BUT,,WIN,Access,Ver 2.0.
DDE links,,DDE-koblinger,,TXT,,WIN,Access,Ver 2.0.
DDL Query,,DDL-spørring,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Decimal Places,,AntallDesimaler,,TXT,,WIN,Access,Ver 2.0. Property or event
Decimal Separator:,p,Desimaltegn:,m,TXB,,WIN,Access,Ver 2.0.
Decrease,D,Reduser,R,COM,,WIN,Access,Ver 2.0. Item in a submenu
Decrease Horizontal Space,,Reduser vannrett mellomrom,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Decrease Vertical Space,,Reduser loddrett mellomrom,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Decrypt Database As,,Dekrypter database som,,TDB,,WIN,Access,Ver 2.0.
Decrypting,,Dekrypterer,,TXT,,WIN,Access,Ver 2.0.
Default |1,,Standard for |1,,TDB,,WIN,Access,Ver 2.0. Title of Property Box
Default Column Width,,Standard kolonnebredde,,TXT,,WIN,Access,Ver 2.0. Options Preference Items
Default Database Directory,,Standard databasekatalog,,TXT,,WIN,Access,Ver 2.0. Options Preference Items
Default Editing,,Standardredigering,,TXT,,WIN,Access,Ver 2.0. Property or event
Default Find/Replace Behavior,,Standardvirkemåte ved søk/erstatt,,TXT,,WIN,Access,Ver 2.0. Options Preference Items
Default Font Italic,,Standard kursivskrift,,TXT,,WIN,Access,Ver 2.0. Options Preference Items
Default Font Name,,Standardskrift,,TXT,,WIN,Access,Ver 2.0. Options Preference Items
Default Font Size,,Standard skriftstørrelse,,TXT,,WIN,Access,Ver 2.0. Options Preference Items
Default Font Underline,,Standard understreking,,TXT,,WIN,Access,Ver 2.0. Options Preference Items
Default Font Weight,,Standard skrifttykkelse,,TXT,,WIN,Access,Ver 2.0. Options Preference Items
Default Gridlines Behavior,,Standardvirkemåte for rutenett,,TXT,,WIN,Access,Ver 2.0. Options Preference Items
Default Open Mode for Databases,,Standard åpningsmodus for databaser,,TXT,,WIN,Access,Ver 2.0. Options Preference Items
Default Printer,D,Standardskriver,S,BUT,,WIN,Access,Ver 2.0.
Default Record Locking,,Standard postlåsing,,TXT,,WIN,Access,Ver 2.0. Options Preference Items
Default Value,,Standardverdi,,TXT,,WIN,Access,Ver 2.0. Property or event
Default View,,Standardvisning,,TXT,,WIN,Access,Ver 2.0. Property or event
Delete,D,Slett,e,COM,,WIN,Access,Ver 2.0.
Delete,e,Slett,e,BUT,,WIN,Access,Ver 2.0.
Delete,,Slett,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Delete Column,l,Slett kolonne,t,COM,,WIN,Access,Ver 2.0.
Delete Column,,Slett kolonne,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Delete in Progress,,Sletter,,TXT,,WIN,Access,Ver 2.0. Progress indication
Delete Query,,Slettespørring,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Delete Query: ,,Slettespørring: ,,TDB,,WIN,Access,Ver 2.0. Type of query being designed
Delete Relationship...,,Slett relasjon...,,COM,,WIN,Access,Ver 2.0. Popup menu item (no hotkey)
Delete Row,D,Slett rad,S,COM,,WIN,Access,Ver 2.0.
Delete Row,,Slett rad,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Delete selection and copy to the Clipboard,,Sletter det som er merket og kopierer det til utklippstavlen,,TXT,,WIN,Access,Ver 2.0.
Delete:,,Slett:,,TXT,,WIN,Access,Ver 2.0. Text in QBE grid
Delete\\tDel,e,Slett\\tDel,e,COM,,WIN,Access,Ver 2.0.
DeleteAll,,Slett alt,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
DeleteColumn,,Slett kolonne,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
DeleteObject,,SlettObjekt,,MAC,,WIN,Access,Ver 2.0. Status bar text for menu item
DeleteRow,,Slett rad,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
Deliver,,Hent,,TXT,,WIN,Access,Ver 2.0. Menu/toolbar button command name (only appears in error messageboxes when command cannot complete)
Deliver Database,,Hent database,,TXT,,WIN,Access,Ver 2.0.
Deliver Database As,,Hent database som,,TXT,,WIN,Access,Ver 2.0.
Descending,D,Synkende,k,COM,,WIN,Access,Ver 2.0. Item in a submenu
Descending,,Synkende,,TXT,,WIN,Access,Ver 2.0. List box item
Description,,Beskrivelse,,TXT,,WIN,Access,Ver 2.0. Property or event
Description of field,,Feltbeskrivelse,,TXT,,WIN,Access,Ver 2.0. Status bar text
Description of object,,Beskrivelse av objektet,,TXT,,WIN,Access,Ver 2.0. Status bar text
Dest Connect Str,,Målkoblingsstreng,,TXT,,WIN,Access,Ver 2.0. Property or event
Destination,,Mål,,ARG,,WIN,Access,Ver 2.0. Macro Argument name
Destination database connection string,,Koblingsstreng til måldatabasen,,TXT,,WIN,Access,Ver 2.0. Status bar text
Destination database name,,Måldatabase,,TXT,,WIN,Access,Ver 2.0. Status bar text
Destination DB,,Måldatabase,,TXT,,WIN,Access,Ver 2.0. Property or event
Destination Table,,Måltabell,,TXT,,WIN,Access,Ver 2.0. Property or event
Destination table name,,Måltabell,,TXT,,WIN,Access,Ver 2.0. Status bar text
Detail,D,Detalj,D,BUT,,WIN,Access,Ver 2.0.
Detail,,Detalj,,TXT,,WIN,Access,Ver 2.0. Section label in form or report design
Direction,,Retning,,ARG,,WIN,Access,Ver 2.0. Macro Argument name
Directories:,D,Kataloger:,K,DIA,,WIN,Access,Ver 2.0.
Dirty,,Endret,,TXT,,WIN,Access,Ver 2.0. Property or event
Display As Icon,D,Vis som ikon,V,BUT,,WIN,Access,Ver 2.0.
"Display the table, query, form, or report in Design view",,"Viser tabellen, spørringen, skjemaet eller rapporten i designvisning",,TXT,,WIN,Access,Ver 2.0. Status bar text for menu item or toolbar button
Display Type,,Visningsmåte,,TXT,,WIN,Access,Ver 2.0. Property or event
Display When,,VisNår,,TXT,,WIN,Access,Ver 2.0. Property or event
Displayed name of object,,Objektnavnet som vises,,TXT,,WIN,Access,Ver 2.0. Status bar text
DMY,,DMÅ,,TXT,,WIN,Access,Ver 2.0. List box item
Do you wish to update manual links?,,Vil du oppdatere manuelle koblinger?,,TXT,,WIN,Access,Ver 2.0.
Domain Aggregate,,Områdemengde,,TXT,,WIN,Access,Ver 2.0. Strings found in Expression Builder
DoMenuItem,,UtførMenykommando,,MAC,,WIN,Access,Ver 2.0.
DOS or OS/2 (PC-8),,DOS eller OS/2 (PC-8),,TXT,,WIN,Access,Ver 2.0. List box item
Dots,,Prikker,,TXT,,WIN,Access,Ver 2.0. Tool tip text and status bar text
Drives:,v,Stasjoner:,S,DIA,,WIN,Access,Ver 2.0.
Duplicate Control,,Lag kopi av kontrollen,,GBN,,WIN,Access,Ver 2.0. Tooltip text
DYM,,DÅM,,TXT,,WIN,Access,Ver 2.0. List box item
Dynaset,,Utvalg,,TXT,,WIN,Access,Ver 2.0. Property or event
Echo,,OppdaterSkjerm,,MAC,,WIN,Access,Ver 2.0.
Echo On,,Oppdater skjerm,,ARG,,WIN,Access,Ver 2.0. Macro Argument name
Edit,E,Rediger,R,MNU,,WIN,Access,Ver 2.0.
Edit,,Rediger,,TXT,,WIN,Access,Ver 2.0.
Edit Filter/Sort,,Rediger filter/sortering,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Edit Filter/Sort...,F,Rediger filter/sortering...,R,COM,,WIN,Access,Ver 2.0.
Edit Filter/Sort...,,Rediger filter/sortering...,,COM,,WIN,Access,Ver 2.0. Popup menu item (no hotkey)
Edit Message,,Rediger melding,,ARG,,WIN,Access,Ver 2.0. Macro Argument name
Edit Mode,,Redigeringsmodus,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
Edit Relationship,,Rediger relasjon,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Edit Relationship...,R,Rediger relasjon...,r,COM,,WIN,Access,Ver 2.0.
Edit Relationship...,,Rediger relasjon...,,COM,,WIN,Access,Ver 2.0. Popup menu item (no hotkey)
Edit Specs...,E,Rediger,R,BUT,,WIN,Access,Ver 2.0.
Edited Record,,Redigert post,,TXT,,WIN,Access,Ver 2.0. Dropdown value in listbox
EditFilter/Sort,,Rediger filter/sortering,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
EditingAllowed,,Redigering tillatt,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
EditMode,,Redigeringsmodus,,TXT,,WIN,Access,Ver 2.0. Menu command name (only appears in error message boxes)
EditRelationship,,Rediger relasjon,,TXT,,WIN,Access,Ver 2.0. Menu/toolbar button command name (only appears in error messageboxes when command cannot complete)
Effects,,Effekter,,BUT,,WIN,Access,Ver 2.0.
Embedded,,Innebygd,,TXT,,WIN,Access,Ver 2.0. Default name prefix for new embedded object
Encrypt,,Krypter,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Encrypt Database As,,Krypter database som,,TDB,,WIN,Access,Ver 2.0.
Encrypt/Decrypt Database,,Krypter/dekrypter database,,TDB,,WIN,Access,Ver 2.0.
Encrypt/Decrypt Database...,E,Krypter/dekrypter database...,e,COM,,WIN,Access,Ver 2.0.
Encrypting,,Krypterer,,TXT,,WIN,Access,Ver 2.0.
Enlarge window to full size,,Forstørrer vinduet til full størrelse,,TXT,,WIN,Access,Ver 2.0. Status bar text for generic windows sizing menu item
Enter a comment in this column.,,Skriv inn en kommentar i denne kolonnen.,,TXT,,WIN,Access,Ver 2.0.
Enter a conditional expression in this column.,,Skriv et betingelsesuttrykk i denne kolonnen.,,TXT,,WIN,Access,Ver 2.0.
Enter a macro name in this column.,,Skriv inn et makronavn i denne kolonnen.,,TXT,,WIN,Access,Ver 2.0.
Enter an action in this column.,,Skriv inn en instruksjon i denne kolonnen.,,TXT,,WIN,Access,Ver 2.0.
Enter Key Behavior,,EnterTastvirkemåte,,TXT,,WIN,Access,Ver 2.0. Property or event
Enter New Value,,Skriv inn en ny verdi,,TXT,,WIN,Access,Ver 2.0.
EOF,,SistIFil,,TXT,,WIN,Access,Ver 2.0. Property or event
Equalize Horizontal Space,,Utjevn vannrett mellomrom,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Equalize Vertical Space,,Utjevner loddrett mellomrom,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Error,,Feil,,TXT,,WIN,Access,Ver 2.0.
Error Handling,,Feilbehandling,,TXT,,WIN,Access,Ver 2.0. Strings found in Expression Builder
Event Module,,Hendelsesmodul,,TXT,,WIN,Access,Ver 2.0. Status bar text for menu item or toolbar button
Event Proc Prefix,,HendelsesprosPrefiks,,TXT,,WIN,Access,Ver 2.0. Property or event
Event Properties,,Hendelsesegenskaper,,TXT,,WIN,Access,Ver 2.0. Listbox item
Exclusive,x,Alene,l,BUT,,WIN,Access,Ver 2.0.
Exclusive,,Alene,,TXT,,WIN,Access,Ver 2.0. Dropdown value in listbox
Exit,x,Avslutt,A,COM,,WIN,Access,Ver 2.0.
Exit,,Avslutt,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Export,,Eksporter,,TDB,,WIN,Access,Ver 2.0.
Export,,Eksporter,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Export |1 to:,,Eksporter |1 til:,,TXT,,WIN,Access,Ver 2.0.
Export Text Options - |1,,Alternativer for teksteksport - |1,,TDB,,WIN,Access,Ver 2.0.
Export Text Options - ZZZYYYXX.TXT,,Alternativer for teksteksport - ZZZYYYXX.TXT,,TDB,,WIN,Access,Ver 2.0.
Export to File,,Eksporter til fil,,TDB,,WIN,Access,Ver 2.0.
Export Word Merge Options - |1,,Eksporter til Word (utskriftsfletting) - |1,,TDB,,WIN,Access,Ver 2.0.
Export Word Merge Options - ZZZYYYXX.TXT,,Eksporter til Word (utskriftsfletting) - ZZZYYYXX.TXT,,TDB,,WIN,Access,Ver 2.0.
Export...,E,Eksporter...,E,COM,,WIN,Access,Ver 2.0.
Export...,,Eksporter...,,COM,,WIN,Access,Ver 2.0. Popup menu item (no hotkey)
Expr,,Uttr,,TXT,,WIN,Access,Ver 2.0. Strings found in Expression Builder
Expression,,Uttrykk,,ARG,,WIN,Access,Ver 2.0. Macro Argument name
Expression Builder,,Uttrykksverktøy,,TXT,,WIN,Access,Ver 2.0. List box item: type of builder that user can call
EXT,,UTV,,TXT,,WIN,Access,Ver 2.0. Extended selection indicator
Extra Light,,Ekstra smal,,TXT,,WIN,Access,Ver 2.0. Dropdown value in listbox
F1 Help,,F1 Hjelp,,TXT,,WIN,Access,Ver 2.0. Status bar text for menu item
F6 = Switch panes.  F1 = Help.,,F6 = Bytt rute. F1 = Hjelp.,,TXT,,WIN,Access,Ver 2.0.
False,,USANN,,FUN,,WIN,Access,Ver 2.0.
False,,USANN,,FUN,,WIN,Access,Ver 2.0. reserved keyword
Fast Laser Printing,,HurtigLaserutskrift,,TXT,,WIN,Access,Ver 2.0. Property or event
Fast Search,,Hurtigsøking,,TXT,,WIN,Access,Ver 2.0. Dropdown value in listbox
Field,,Felt,,TXT,,WIN,Access,Ver 2.0.
Field Information: (fixed width only),F,Feltinformasjon: (fast bredde),i,DIA,,WIN,Access,Ver 2.0.
Field List,,Feltliste,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Field List Properties,,Feltlisteegenskaper,,TXT,,WIN,Access,Ver 2.0. Text in query property sheet
Field List...,L,Feltliste...,F,COM,,WIN,Access,Ver 2.0.
Field Name,,Feltnavn,,TXT,,WIN,Access,Ver 2.0. Property or event
Field Properties,,Feltegenskaper,,TXT,,WIN,Access,Ver 2.0.
Field Separator:,S,Feltskilletegn (x):,x,DIA,,WIN,Access,Ver 2.0.
Field Set Failure,,Kan ikke skrive i feltet,,TXT,,WIN,Access,Ver 2.0.
Field Size,,Feltstørrelse,,TXT,,WIN,Access,Ver 2.0. Property or event
Field Truncation,,Avkorting av feltet,,TXT,,WIN,Access,Ver 2.0.
Field/Expression,,Felt/uttrykk,,TXT,,WIN,Access,Ver 2.0.
Field:,,Felt:,,TXT,,WIN,Access,Ver 2.0. Text in QBE grid
FieldList,,Feltliste,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
File,,Fil,,MNU,,WIN,Access,Ver 2.0.
File,F,Fil,F,MNU,,WIN,Access,Ver 2.0.
File Name,,Filnavn,,ARG,,WIN,Access,Ver 2.0. Macro Argument name
File Name:,N,Filnavn:,F,TXB,,WIN,Access,Ver 2.0.
File Type:,i,Filtype:,t,DIA,,WIN,Access,Ver 2.0.
File:,e,Fil:,l,TXB,,WIN,Access,Ver 2.0.
Fill Fore Color,,Fyllforgrunnsfarge,,TXT,,WIN,Access,Ver 2.0. Property or event
Fill Specification Grid From Table,,Sett inn spesifikasjoner fra tabell,,TDB,,WIN,Access,Ver 2.0.
Fill Specification Grid from Table...,T,Sett inn spesifikasjoner fra tabell...,b,BUT,,WIN,Access,Ver 2.0.
FillColor,,Fyllfarge,,TXT,,WIN,Access,Ver 2.0. Property or event
FillStyle,,Fyllstil,,TXT,,WIN,Access,Ver 2.0. Property or event
Filter Name,,Filternavn,,ARG,,WIN,Access,Ver 2.0. Macro Argument name
Filter/Sort,,Filter/sortering,,TXT,,WIN,Access,Ver 2.0.
Financial,,Økonomiske,,TXT,,WIN,Access,Ver 2.0. Strings found in Expression Builder
Find,,Søk etter,,TDB,,WIN,Access,Ver 2.0.
Find,,Søk,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Find First,,Søk etter første,,ARG,,WIN,Access,Ver 2.0. Macro Argument name
Find in field: '|',,Søk i feltet: \@|\@,,TDB,,WIN,Access,Ver 2.0. Context sensitive title of dialog box
Find Next,,Søk etter neste,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Find Next\\tF3,N,Søk etter neste\\tF3,n,COM,,WIN,Access,Ver 2.0.
Find Previous,,Søk etter forrige,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Find Previous\\tShift+F3,v,Søk etter forrige\\tSkift+F3,f,COM,,WIN,Access,Ver 2.0.
Find What,,Søk etter,,ARG,,WIN,Access,Ver 2.0. Macro Argument name
Find What:,F,Søk etter:,S,TXB,,WIN,Access,Ver 2.0.
Find...,,Søk...,,COM,,WIN,Access,Ver 2.0. Popup menu item (no hotkey)
Find...\\tCtrl+F,F,Søk...\\tCtrl+F,S,COM,,WIN,Access,Ver 2.0.
FindNext,,SøkEtterNeste,,MAC,,WIN,Access,Ver 2.0.
FindPrevious,,Søk etter forrige,,TXT,,WIN,Access,Ver 2.0. Menu/toolbar button command name (only appears in error messageboxes when command cannot complete)
FindRecord,,SøkEtterPost,,MAC,,WIN,Access,Ver 2.0.
First,F,Første,F,COM,,WIN,Access,Ver 2.0. Item in a submenu
First,,Første,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
First 4-day week,,Første uke med 4 dager,,TXT,,WIN,Access,Ver 2.0. Dropdown value in listbox
First full week,,Første hele uke,,TXT,,WIN,Access,Ver 2.0. Dropdown value in listbox
First Record,,Første post,,GBN,,WIN,Access,Ver 2.0. Tooltip text
First Week,,Første uke i året,,TXT,,WIN,Access,Ver 2.0. Options Preference Items
First Weekday,,Første dag i uken,,TXT,,WIN,Access,Ver 2.0. Options Preference Items
Fixed,,Fast,,TXT,,WIN,Access,Ver 2.0. Listbox item : Number format
Fixed column headings in crosstab,,Faste kolonneoverskrifter i krysstabell,,TXT,,WIN,Access,Ver 2.0. Status bar text
Font,,Skrift,,TDB,,WIN,Access,Ver 2.0.
Font,,Skrift,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Font Bold,,Fet,,TXT,,WIN,Access,Ver 2.0. Property or event
Font Italic,,Kursiv,,TXT,,WIN,Access,Ver 2.0. Property or event
Font Name,,Skrift,,TXT,,WIN,Access,Ver 2.0. Property or event
Font Size,,Skriftstørrelse,,TXT,,WIN,Access,Ver 2.0. Property or event
Font Style:,y,Skriftstil:,k,DIA,,WIN,Access,Ver 2.0.
Font Underline,,Understreking,,TXT,,WIN,Access,Ver 2.0. Property or event
Font...,F,Skrift...,S,COM,,WIN,Access,Ver 2.0.
Font...,,Skrift...,,COM,,WIN,Access,Ver 2.0. Popup menu item (no hotkey)
Font:,F,Skrift:,S,DIA,,WIN,Access,Ver 2.0.
"For Help on dialog settings, press F1",,Trykk F1 hvis du vil ha hjelp til dialoginnstillinger,,TXT,,WIN,Access,Ver 2.0. Tool tip text and status bar text
Force New Page,,TvingSideskift,,TXT,,WIN,Access,Ver 2.0. Property or event
Fore Color,,Forgrunnsfarge,,TXT,,WIN,Access,Ver 2.0. Property or event
Form,F,Skjema,k,COM,,WIN,Access,Ver 2.0.
Form,,Skjema,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
Form  Report Design, ,Skjema- og rapportdesign,,TXT,,WIN,Access,Ver 2.0. Options Categories
Form Datasheet,,Dataark for skjema,,TXT,,WIN,Access,Ver 2.0. Menu Bar Item Names
Form Design,,Skjemadesign,,TXT,,WIN,Access,Ver 2.0. Menu Bar Item Names
Form Footer,F,Bunntekst i skjema,B,BUT,,WIN,Access,Ver 2.0.
Form Footer,,Bunntekst i skjema,,TXT,,WIN,Access,Ver 2.0. Section label in form or report design
Form Header,H,Topptekst i skjema,T,BUT,,WIN,Access,Ver 2.0.
Form Header,,Topptekst i skjema,,TXT,,WIN,Access,Ver 2.0. Section label in form or report design
Form Header/Footer,H,Topptekst/bunntekst i skjema,T,COM,,WIN,Access,Ver 2.0.
Form Header/Footer,,Topptekst/bunntekst i skjema,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Form is read-only.,,Skjemaet er skrivebeskyttet.,,TXT,,WIN,Access,Ver 2.0.
Form Name,,Skjemanavn,,ARG,,WIN,Access,Ver 2.0. Macro Argument name
Form Name:,N,Skjemanavn:,n,TXB,,WIN,Access,Ver 2.0.
Form Name:,N,Skjemanavn:,n,TXB,,WIN,Access,Ver 2.0.
Form Template,,Skjemamal,,TXT,,WIN,Access,Ver 2.0. Options Preference Items
Form View,,Skjemavisning,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Form.,,Skjema.,,TXT,,WIN,Access,Ver 2.0. Dropdown values in listbox
Form: ,,Skjema: ,,TXT,,WIN,Access,Ver 2.0.
Format Picture Text,,Bildetekstformat,,TXT,,WIN,Access,Ver 2.0. Property or event
FormatCount,,AntallFormateringer,,TXT,,WIN,Access,Ver 2.0. Property or event
"Formatting page, press Ctrl+Break to stop ...",,Formaterer siden. Trykk Ctrl+Break hvis du vil avbryte ...,,TXT,,WIN,Access,Ver 2.0.
FormFooter,,Bunntekst i skjema,,TXT,,WIN,Access,Ver 2.0.
FormHdr/Ftr,,Topptekst/bunntekst i skjema,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
Forms,F,Skjemaer,k,COM,,WIN,Access,Ver 2.0.
Forms,,Skjemaer,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
Four Digit Years,Y,Fire sifre i årstall,å,BUT,,WIN,Access,Ver 2.0.
Freeze Columns,z,Frys kolonner,y,COM,,WIN,Access,Ver 2.0.
Freeze Columns,,Frys kolonner,,GBN,,WIN,Access,Ver 2.0. Tooltip text
FreezeColumns,,Frys kolonner,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
Friday,,Fredag,,TXT,,WIN,Access,Ver 2.0. Dropdown value in listbox
From,,Fra,,TXT,,WIN,Access,Ver 2.0. List box item
From:,F,Fra:,F,TXB,,WIN,Access,Ver 2.0.
Fully Enclosed,,Helt omsluttet,,TXT,,WIN,Access,Ver 2.0.
Function,F,Function,F,BUT,,WIN,Access,Ver 2.0.
Function Name,,Funksjonsnavn,,ARG,,WIN,Access,Ver 2.0. Macro Argument name
Functions,,Funksjoner,,TXT,,WIN,Access,Ver 2.0. Strings found in Expression Builder
General,,Generelt,,TXT,,WIN,Access,Ver 2.0. Options Categories
General Date,,Dato,,TXT,,WIN,Access,Ver 2.0. Listbox item : Date/time format
General Number,,Tall,,TXT,,WIN,Access,Ver 2.0. Listbox item : Number format
General Search,,Full søking,,TXT,,WIN,Access,Ver 2.0. Dropdown value in listbox
General-Align Text,,Standardjuster tekst,,TXT,,WIN,Access,Ver 2.0. Tool tip text and status bar text
Get context-sensitive help by pressing F1,,Trykk F1 for å få hjelp avhengig av sammenhengen,,TXT,,WIN,Access,Ver 2.0. Status bar text for menu item
Get Help,,Hjelp,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
Go To,G,Gå til,å,COM,,WIN,Access,Ver 2.0.
Go To Field,,Gå til felt,,TXT,,WIN,Access,Ver 2.0.
GoToControl,,GåTilKontroll,,MAC,,WIN,Access,Ver 2.0.
GoToPage,,GåTilSide,,MAC,,WIN,Access,Ver 2.0.
GoToRecord,,GåTilPost,,MAC,,WIN,Access,Ver 2.0.
Graph,,Diagram,,TDB,,WIN,Access,Ver 2.0. Title of Property Box
Grid,G,Rutenett,n,COM,,WIN,Access,Ver 2.0.
Grid,,Rutenett,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
Grid X,,RutenettX,,TXT,,WIN,Access,Ver 2.0. Property or event
Grid Y,,RutenettY,,TXT,,WIN,Access,Ver 2.0. Property or event
Gridlines,G,Rutenett,n,COM,,WIN,Access,Ver 2.0.
Gridlines,,Rutenett,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Group By,,Grupper etter,,TXT,,WIN,Access,Ver 2.0. List box item
Group Footer,,BunntekstForGruppe,,TXT,,WIN,Access,Ver 2.0. Property or event
Group Header,,TopptekstForGruppe,,TXT,,WIN,Access,Ver 2.0. Property or event
Group Interval,,Grupperingsintervall,,TXT,,WIN,Access,Ver 2.0. Property or event
Group Level,,Gruppenivå,,TXT,,WIN,Access,Ver 2.0. Property or event
Group Membership,,Gruppemedlemsskap,,BUT,,WIN,Access,Ver 2.0.
Group On,,GrupperEtter,,TXT,,WIN,Access,Ver 2.0. Property or event
Group Properties,,Gruppeegenskaper,,TXT,,WIN,Access,Ver 2.0.
GroupContinued,,NesteGruppe,,TXT,,WIN,Access,Ver 2.0. Property or event
Groups,G,Grupper,G,BUT,,WIN,Access,Ver 2.0.
Groups,,Grupper,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Groups...,G,Grupper...,G,COM,,WIN,Access,Ver 2.0.
Guest,,Gjest,,TXT,,WIN,Access,Ver 2.0. List box item in Permissions dialog
Guests,,Gjester,,TXT,,WIN,Access,Ver 2.0. List box item in Permissions dialog
Hairline Border Width,,rammetykkelse som hårstrek,,TXT,,WIN,Access,Ver 2.0. Tool tip text and status bar text
Heavy,,Ultrafet,,TXT,,WIN,Access,Ver 2.0. Dropdown value in listbox
Height,,Høyde,,ARG,,WIN,Access,Ver 2.0. Macro Argument name
Height:,e,Høyde:,ø,TXB,,WIN,Access,Ver 2.0.
Help,H,Hjelp,H,MNU,,WIN,Access,Ver 2.0.
Help,H,Hjelp,H,BUT,,WIN,Access,Ver 2.0.
Help,,Hjelp,,TXT,,WIN,Access,Ver 2.0. Menu/toolbar button command name (only appears in error messageboxes when command cannot complete)
HelpOnInterface,,Direkte hjelp,,TXT,,WIN,Access,Ver 2.0. Menu/toolbar button command name (only appears in error messageboxes when command cannot complete)
Hide,H,Skjul,S,COM,,WIN,Access,Ver 2.0.
Hide,H,Skjul,S,BUT,,WIN,Access,Ver 2.0.
Hide,,Skjul,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Hide Columns,H,Skjul kolonner,u,COM,,WIN,Access,Ver 2.0.
Hide Columns,,Skjul kolonner,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Hide Duplicates,,SkjulDubletter,,TXT,,WIN,Access,Ver 2.0. Property or event
HideColumns,,Skjul kolonner,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
Horizontal,H,Vannrett (x),x,BUT,,WIN,Access,Ver 2.0.
Horizontal position of object,,Objektets vannrette posisjon,,TXT,,WIN,Access,Ver 2.0. Status bar text
Horizontal Spacing,z,Vannrett mellomrom,m,COM,,WIN,Access,Ver 2.0.
Hourglass,,Timeglass,,MAC,,WIN,Access,Ver 2.0.
Hourglass On,,Timeglass på,,ARG,,WIN,Access,Ver 2.0. Macro Argument name
Hwnd,,Windowshåndtak,,TXT,,WIN,Access,Ver 2.0. Property or event
Ignore,I,Ignorer,I,BUT,,WIN,Access,Ver 2.0. Button on Message Box
Ignore DDE Requests,,Ignorer DDE-forespørsler,,TXT,,WIN,Access,Ver 2.0. Options Preference Items
Ignore Nulls,,Ignorer Ugyldig,,TXT,,WIN,Access,Ver 2.0. Index object editor property
Immediate Window,I,Øyeblikksvindu,Ø,COM,,WIN,Access,Ver 2.0.
Immediate Window,,Øyeblikksvindu,,GBN,,WIN,Access,Ver 2.0. Tooltip text
ImmediateWindow,,Øyeblikksvindu,,TXT,,WIN,Access,Ver 2.0. Menu/toolbar button command name (only appears in error messageboxes when command cannot complete)
Imp/Exp Setup...,S,Import-/eksportoppsett,s,COM,,WIN,Access,Ver 2.0.
Imp/ExpSetup,,Import-/eksportoppsett,s,TXT,,WIN,Access,Ver 2.0. Menu/toolbar button command name (only appears in error messageboxes when command cannot complete)
Import,,Importer,,TDB,,WIN,Access,Ver 2.0.
Import,,Importer,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Import Errors - |1,,Importfeil - |1,,TXT,,WIN,Access,Ver 2.0.
Import Objects,,Importer objekter,,TDB,,WIN,Access,Ver 2.0.
Import Results - |1,,Resultat av import - |1,,TXT,,WIN,Access,Ver 2.0.
