blank space,,Leerzeichen,,,GEN,N,WIN,Standard,,
blocking,,blockieren,,,GEN,V,WIN,Standard,Re. OLE
blocking,,sperren,,,GEN,V,WIN,Standard,Re. cells
bold,,fett,,,GEN,ADJ,WIN,Standard,Style Guide
Bold,,Fett,F,,OPT,,WIN,Standard,GuiGuide
book titles,,Buchtitel,,,GEN,N,WIN,Standard,Style Guide
Bookmark,,Textmarke,T,,COM,,WIN,Standard,
bookmark,,Lesezeichen,,,GEN,N,WIN,Standard,GuiGuide
Boolean,,boolesch,,,GEN,ADJ,WIN,Standard,"z.B. ""eine boolesche Variable"""
boot,,neu starten,,,GEN,V,WIN,Standard,"Avoid this term in English; use ""switch on"", ""start"", ""restart"""
border,,Rand,,,GEN,N,WIN,Standard,Re. the borders of a window in Win3.. Used for sizing windows.
border,,Umrandung,,,GEN,N,WIN,Standard,
border,,Rahmen,,,GEN,N,WIN,Standard,
bottom window border,,unterer Fensterrand,,,GEN,N,WIN,Standard,GuiGuide
branching within procedures,,Verzweigungen bei Prozeduren,,,GEN,,WIN,Standard,Re. programming
BREAK,,PAUSE (Mac),,,KEY,,WIN,Standard,No need to add the word TASTE.
BREAK,,UNTBR (PC),,,KEY,,WIN,Standard,No need to add the word TASTE.
broken link,,unterbrochene Verknüpfung,,,GEN,,WIN,Standard,Style Guide,
browse,,durchsuchen,,,GEN,V,WIN,Standard,z.B. der Festplatte,To scan a database or list of files 
browse,,blättern,,,GEN,V,WIN,Standard,z.B. ein Hilfethema,To scan a database or list of files 
buffer,,"Puffer, der",,,GEN,N,WIN,Standard,,
built-in,,integriert,,,GEN,ADJ,WIN,Standard,re. features,
built-in,,eingebaut,,,GEN,ADJ,WIN,Standard,re. hardware,
bulletin board,,elektronisches Bulletin Board,,,GEN,,WIN,Standard,"Duden-meeting on Sept. 30, 93",
busy,,"""arbeiten""",,,GEN,ADJ,WIN,Standard,"describe, since there is no good German word for this.",
busy,,belegt,,,GEN,ADJ,WIN,Standard,re. phone lines etc.,
button,,Schaltfläche,,,GEN,N,WIN,Standard,GuiGuide,
byte,,"Byte, das (s)",,,GEN,N,WIN,Standard,,"A unit of information, consisting of 8 bits."
cache; Avoid,,Cache-Speicher,,,GEN,N,WIN,Standard,"Use ""disk cache"" instead.",A special memory subsystem in which frequently used data values are duplicated for quick access.
CAD (Computer-aided design),,CAD,,,GEN,N,WIN,Standard,,
CAE (Computer-aided engineering),,CAE,,,GEN,N,WIN,Standard,,
CAI (Computer-aided instruction),,CAI,,,GEN,N,WIN,Standard,,
CAL (Computer-aided learning),,CAL,,,GEN,N,WIN,Standard,,
Calculator,,Rechner,,,GEN,N,WIN,Standard,Re. the Windows application
Calendar,,Kalender,,,GEN,N,WIN,Standard,Re. the Windows application
callback function,,Rückruffunktion,,,GEN,N,WIN,Standard,Style Guide
callout,,Anmerkungstext,,,GEN,N,WIN,Standard,Style Guide
callout,,Legende,,,GEN,N,WIN,Standard,"Used in Winword, because ""Anmerkung"" was the translation for ""callout""."
CAM (Computer-aided Manufacturing),,CAM,,,GEN,,WIN,Standard,
Cancel,,Abbrechen,,,COM,,WIN,Standard,GuiGuide
cancel,,abbrechen,,,GEN,V,WIN,Standard,GuiGuide
capitalization,,Großbuchstaben,,,GEN,N,WIN,Standard,
CAPS LOCK,,FESTSTELLTASTE,,,KEY,,WIN,Standard,GuiGuide
Caps Lock on (CAPS),,GROSS,,,OPT,,WIN,Standard,GuiGuide
Caption,,Bildunter-/Überschrift,,,GEN,,WIN,Standard,
Cardfile,,Kartei,,,COM,,WIN,Standard,GuiGuide
caret,,Caret (^),,,GEN,,WIN,Standard,
carriage return,,Wagenrücklauf,,,GEN,,WIN,Standard,
carry out,,ausführen,,,GEN,,WIN,Standard,"Use for commands; for programs and macros use ""run""."
Cascade,,Überlappend,L,,COM,,WIN,Standard,GuiGuide,
cascading menu,,überlappende Menüs,,,GEN,,WIN,Standard,GuiGuide,
cascading windows,,überlappende Fenster,,,GEN,,WIN,Standard,GuiGuide,
CASE (Computer-aided software engineering),,CASE,,,GEN,,WIN,Standard,,
case sensitive,,Groß-/Kleinschreibung,,,GEN,,WIN,Standard,"Mit einem Verb verwenden: ""...unterscheidet nach --"" oder ""Groß-/Kleinschreibung beachten"".",
caution,,Vorsicht,,,GEN,,WIN,Standard,Style Guide,"A warning message in manuals or software, that start with ""Caution""."
CBT (Computer-based tutorial),,Lernprogramm,,,GEN,,WIN,Standard,,
CD-ROM (Compact disc read-only memory),,CD-ROM,,,GEN,,WIN,Standard,"Don't say ""CD-ROM disk""; that's redundant",
CD-ROM drive,,CD-ROM-Laufwerk,,,GEN,,WIN,Standard,,
cell,,Zelle,,,GEN,,WIN,Standard,,In spreadsheets the intersection of a row and a column.
centered,,zentriert,,,GEN,ADJ,WIN,Standard,,
CGA (color graphics adapter),,CGA,,,GEN,,WIN,Standard,GuiGuide,
change,,ändern,,,GEN,V,WIN,Standard,GuiGuide,
chapter titles,,Kapitelüberschriften,,,GEN,N,WIN,Standard,Style Guide,
character,,Zeichen,,,GEN,N,WIN,Standard,Style Guide,
character map,,Zeichentabelle,,,GEN,N,WIN,Standard,GuiGuide,
character set,,Zeichensatz,,,GEN,N,WIN,Standard,"use instead of ""code page"" in most cases."
chart,,Diagramm,,,GEN,N,WIN,Standard,
chart wizard,,Diagramm-Assistent,,,GEN,N,WIN,Standard,
check,,auswählen,,,GEN,V,WIN,Standard,GuiGuide
check,,aktivieren,,,GEN,V,WIN,Standard,GuiGuide
check box,,Kontrollkästchen,,,GEN,N,WIN,Standard,Style Guide
check mark,,Häkchen,,,GEN,N,WIN,Standard,GuiGuide
checked command,,aktivierter Befehl,,,GEN,,WIN,Standard,Style Guide
chevrons,,Steuerzeichen,,,GEN,N,WIN,Standard,"Chevrons werden als ""Steuerzeichen"" verwendet; die Zeichen selber werden auch ""Linkes / rechtes Chevron"" genannt."
child,,untergeordnet,,,GEN,,WIN,Standard,
choose,,wählen,,,GEN,V,WIN,Standard,Use for commands and command names
choose,,auswählen,,,GEN,V,WIN,Standard,Use for options or anything else a user chooses from a list.
choosing a command,,Wählen eines Befehls,,,GEN,,WIN,Standard,Style Guide
choosing icons,,Wählen von Symbolen,,,GEN,,WIN,Standard,Style Guide
class,,Klasse,,,GEN,N,WIN,Standard,Style Guide
CLEAR,,ENTF,,,KEY,,WIN,Standard,No need to add the word TASTE.
Clear,,Löschen,L,,COM,,WIN,Standard,"Don't use ""turn off""."
clear,,löschen,,,GEN,V,WIN,Standard,GuiGuide
clear,,ausschalten,,,GEN,V,WIN,Standard,
clear,,deaktivieren,,,GEN,V,WIN,Standard,
Clear All,,Alles löschen,A,,COM,,WIN,Standard,GuiGuide
click,,klicken,,,GEN,V,WIN,Standard,"use with ""in"" (Symbolleiste) and ""auf"" (Schaltfläche)"
click in the ...toolbar on...,,Klicken Sie in der Symbolleiste auf die Schaltfläche...,,,GEN,,WIN,Standard,"Duden-meeting on Sept. 30, 93"
click the mouse button,,Klicken Sie mit der Maus auf...,,,GEN,,WIN,Standard,"Duden-meeting on Sept. 30, 93"
click the right mouse button,,Klicken Sie mit der rechten Maustaste auf...,,,GEN,,WIN,Standard,"Duden-meeting on Sept. 30, 93"
client,,"Client, der (s)",,,GEN,N,WIN,Standard,"In OLE, this has been changed to ""container""."
Clip art,,ClipArt,,,GEN,,WIN,Standard,"Duden-meeting on Sept. 30, 93"
Clipart,,ClipArt,,,GEN,,WIN,Standard,"Duden-meeting on Sept. 30, 93"
Clipboard,,Zwischenablage,,,GEN,N,WIN,Standard,An application in Windows
Clipboard Viewer,,Zwischenablage,,,GEN,N,WIN,Standard,GuiGuide
clock,,Uhr,,,GEN,N,WIN,Standard,GuiGuide
Close,,Schließen,L,,COM,,WIN,Standard,GuiGuide
close,,schließen,,,GEN,V,WIN,Standard,GuiGuide,
Close All,,Alles schließen,A,,COM,,WIN,Standard,GuiGuide,
close box,,Schließfeld,,,GEN,N,WIN,Standard,Style Guide,
code,,"Code, der",,,GEN,N,WIN,Standard,,
COL (Column),,Sp,,,GEN,,WIN,Standard,Status bar abbreviation,
cold boot,,Kaltstart,,,GEN,N,WIN,Standard,,A startup process that begins with turning on the computer's power.
cold link,,manuelle Verknüpfung,,,GEN,N,WIN,Standard,,
collapse,,ausblenden,,,GEN,V,WIN,Standard,GuiGuide,
collapse,,reduzieren,,,GEN,V,WIN,Standard,re. levels in outline view,
Collate copies,,Kopien sortieren,t,,COM,,WIN,Standard,GuiGuide,
colon,,Doppelpunkt,,,GEN,N,WIN,Standard,Style Guide,
color monitor,,Farbmonitor,,,GEN,N,WIN,Standard,re. the hardware,
column,,Spalte,,,GEN,N,WIN,Standard,,A series of items arranged vertically in some type of framework.
COM,,COM,,,GEN,,WIN,Standard,,Logical device name for communications.
combo box,,Kombinationsfeld,,,GEN,N,WIN,Standard,GuiGuide,
comma,,"Komma, das (s)",,,GEN,N,WIN,Standard,Style Guide,
command,,Befehl,,,GEN,N,WIN,Standard,Style Guide
COMMAND,,BEFEHLSTASTE (Mac),,,KEY,,WIN,Standard,Style Guide
command and menu names in text,,Befehls- und Menünamen im Text,,,GEN,,WIN,Standard,Style Guide
command button,,Befehlsschaltfläche,,,GEN,N,WIN,Standard,GuiGuide
command line,,Befehlszeile,,,GEN,N,WIN,Standard,
command prompt,,Eingabeaufforderung,,,GEN,N,WIN,Standard,Style Guide
command separator,,Befehlstrennlinie,,,GEN,N,WIN,Standard,Style Guide
command-line syntax,,Befehlszeilensyntax,,,GEN,N,WIN,Standard,Style Guide
communication device,,DFÜ-Gerät,,,GEN,N,WIN,Standard,Style Guide
communication request,,DFÜ-Anforderung,,,GEN,N,WIN,Standard,Style Guide
communication-device queue,,DFÜ-Warteschlange,,,GEN,N,WIN,Standard,Style Guide
compatibility,,Kompatibilität,,,GEN,N,WIN,Standard,
compatible,,kompatibel mit,,,GEN,ADJ,WIN,Standard,
compile,,kompilieren,,,GEN,V,WIN,Standard,
compile time,,Kompilierzeit,,,GEN,N,WIN,Standard,
compiler,,"Compiler, der",,,GEN,N,WIN,Standard,
complete installation,,vollständige Installation,,,GEN,N,WIN,Standard,,
compound document,,Verbunddokument,,,GEN,,WIN,Standard,,
comprehensive index,,allgemeiner Index,,,GEN,N,WIN,Standard,WinNT,
computer output,,Computerausgabe,,,GEN,N,WIN,Standard,Style Guide,
configuration,,Konfiguration,,,GEN,N,WIN,Standard,,
connect to a server,,zu einem Server verbinden,,,GEN,,WIN,Standard,"""zu"" is the correct preposition here.",
