US,,Èesky,Comments/Correction
Font,,Písmo (p),
Font Style,,Styl písma (s),
Format,,Formát (f),
freeze,,ukotvit,
Freeze Panes,,Ukotvit podokna (tabule)
From ,,Od
Full Menus,,Celá nabídka (p)
gallery,,galerie
Games,,Hry
Glossary,,Slovník (o)
Go To,,Pøejít na
Go To...,,Pøejít  na (p)
Goto/Gosub button,,tlaèítko Goto/Gosub
group,,skupina
group box,,rámeèek skupiny
group icon,,ikona skupiny
group window,,okno skupiny
Help,,Nápovìda
Help,,Nápovìda (n)
Help window,,okno nápovìdy
hide,,skrýt
Hide,,Skrýt (s)
History,,Historie (t)
HOME,,klávesa HOME
horizontal scroll bar,,vodorovný  posuvník
horizontal split bar,,vodorovná pøíèka 
hourglass pointer,,pøesýpací hodiny
How to use Help,,Jak používat nápovìdu (j)
I-beam pointer,,I-kurzor
icon,,ikona
inactive window,,neaktivní okno
Increase Speed (by 100%),,Zrychlit (o 100%) (v)
Increase Volume (by 25%),,Zesílit  (o 25%) (z)
INS,,klávesa INSERT (INS)
Insert...,,Vložit... (v)
Insert File...,,Vložit soubor... (v)
insertion point,,kurzor
Insert,,Vložit (v)
Insert Object...,,Vložit objekt... (j)
italic,,kurzíva (k)
justified,,zarovnaný do bloku(b)
Keyboard,,Klávesnice (k)
label,,název
Landscape,,Na šíøku (k)
left aligned,,zarovnaný vlevo (l)
LEFT ARROW,,klávesa ŠIPKA VLEVO 
left scroll arrow,,levá šipka posuvníku
left window border,,levý okraj okna
Line (Ln),,Øádek (ø.)
link,,propojení
linked object,,propojený objekt
linked text and list box,,vstupní pole se seznamem
list box,,seznam,
List Files of Type,,Typ zobrazených souborù (t),
Macro,,Makro (m),
Macro Recorder on (REC),,MAKRO,
Main,,Hlavní skupina,
main application,,hlavní aplikace,
main document,,hlavní dokument,
manual link,,ruèní propojení,
Match Case,,Rozlišovat  malá a velká písmena (r),zkrácenì: Rozlišovat velká písmena
Match Whole Word Only,,Jen celá slova (p),
Maximize,,Maximalizovat (x),
Maximize button,,maximalizaèní tlaèítko,
Media Player,,Pøehrávaè záznamù,
menu,,nabídka,
menu bar,,øádek nabídek,
menu command,,pøíkaz nabídky,
menu name,,název nabídky
message,,zpráva
message box,,okno se zprávou
message line,,øádek se zprávou
MIDI Sequencer...,,Sekvencer MIDI... (m)
Minimize,,Minimalizovat (n)
Minimize button,,minimalizaèní tlaèítko
Mix with File...,,Smíchat  se souborem... (s)
More,,Více
Mouse,,Myš (m)
mouse pointer,,ukazatel myši
move,,pøesunout
Move,,Pøesunout (s)
MS-DOS Prompt,,pøíkazový øádek MS-DOS
New...,,Nový... (n)
New Window,,Nové okno (n)
Next,,Další (d)
Next Window,,Další okno (a)
No,,Ne
Notepad,,Poznámkový blok
NUM LOCK,,klávesa NUM LOCK
Num Lock on (NUM),,NUML
Number...,,Èíslo... (s)
object,,objekt
Object...,,Objekt... (o)
object linking & embedding (OLE),,propojování a vkládání objektù (OLE)
Object Packager,,Balíèkovaè objektù
OK,,OK
OLE (object linking & embedding),,OLE (propojování a vkládání objektù)
OLE application,,aplikace OLE
Open,,Otevøít (o)
option button,,pøepínaè
Options,,Volby,
Options,,Volby (o),pozn. v nabídce Tools: Pøedvolby
Orientation,,Orientace (o),
Overtype on (OVR),,PØES,
package,,balíèek,
Page (Pg),,Strana (str.),
Pages,,Poèet stran (s),
Page Setup,,Vzhled stránky,
palette,,paleta,
pane,,"podokno, tabule",
Paragraph...,,Odstavec... (o),
Paper Size,,Formát papíru (f),
paste,,vložit,
Paste,,Vložit (p),
Paste Link,,Vložit propojení (i),
Paste Special,,Vložit jinak  (l),
PAUSE ,,klávesa PAUSE,
PG DN,,klávesa PAGE DOWN (PG DN),
PG UP,,klávesa PAGE UP (PG UP),
PIF Editor,,Editor PIF,
point,,ukázat na,
pointer,,ukazatel,
Portrait,,Na výšku (v),
Preferences,,Preference (r),Pozn.:pøesnìji: Pøedvolby
press and hold down,,stisknout a pøidržet,
Print,,Tisk,
Printer,,Tiskárna (t),
Printer Setup,,Nastavení tiskárny (s),
Print Manager,,Správce tisku,
Print Preview,,Ukázka pøed tiskem (e),
Print Quality,,Kvalita tisku ,
Print Range,,Vytisknout oblast,
PRINT SCREEN,,klávesa PRINT SCREEN,
Print Setup...,,Nastavení zpùsobu tisku... (z),
Print to File,,Tisk do souboru (s),
Print Topic,,Vytisknout téma (v),
program group,,programová skupina,
program item,,programová položka,
program-item icon,,ikona programové položky,
progress indicator,,indikátor prùbìhu,
Program Manager,,Správce programù,
push button,,tlaèítko,
Quit,,Konec,
radio button,,pøepínaè,
Read Only,,Pouze ètení (p),
Record...,,Záznam... (z),
Recorder,,Makrokamera,v aplikacích: Záznam (maker)
Redo,,Znovu,
reduce selection,,zúžit výbìr
Remove Split,,Zrušit rozdìlení (r)
Repeat,,Opakovat  (a)
Replace...,,Zamìnit... (z)
Replace All,,Zamìnit vše
Replace With,,Zamìnit za (z)
Reset,,Vrátit
resize,,zmìnit velikost
restore,,obnovit (velikost)
Restore,,Obnovit (o)
Restore button,,obnovovací tlaèítko
Resume,,Dále
Retry,,Znovu
Reverse,,Obrátit
Revert...,,Vrátit... (b)
right aligned,,zarovnaný vpravo (p)
RIGHT ARROW,,klávesa ŠIPKA VPRAVO
right scroll arrow,,pravá šipka posuvníku
right window border,,pravý okraj okna
ruler,,pravítko
Run...,,Spustit... (u)
Run...,,Spustit (s)
Sample,,Vzorek (z)
Save,,Uložit (u)
Save All,,Uložit vše (l)
Save As...,,Uložit jako... (p)
Save File as Type,,"Uložit jako, Typ souboru"
scale,,zmìnit mìøítko
Scale,,Mìøítko (m)
Scaling,,Mìøítko (m)
scroll,,posouvat
scroll arrow,,šipka posuvníku
scroll bar,,posuvník,
scroll box,,táhlo,
SCROLL LOCK,,klávesa SCROLL LOCK,
Scroll Lock on (SCRL),,SCRL,
Search,,Prohledat,"termín použitý v aplikacích v oknì ""Hledat soubor"" (budoucí termín: Hledat (Find - Najít, Search - Hledat)"
Search,,Prohledat,
Search...,,Prohledat,
Search for Help on,,Vyhledat nápovìdu (v),pozn.: ve Windows
Section...,,Oddíl... (l),
Section (Sec),,Oddíl (odd.),
select,,"oznaèit, zvolit",
"select (check box, option button)",,"zaškrtnout (pole), klepnout na (pøepínaè) ",
select (data),,zvolit,
select (drop-down menu),,zvolit,
selected command,,"zvolený pøíkaz, zvýraznìný pøíkaz",
Selection,,"Výbìr, Oznaèení",
selection cursor,,kurzor
select (list box),,"zvolit, vybrat "
Set,,Nastavit
Setup,,Nastavení
SHIFT,,klávesa SHIFT
shortcut key,,klávesová zkratka
shortcut menu,,místní nabídka
size,,zmìnit velikost
Size,,Zmìnit  velikost (v)
Size (font size),,Velikost (v)
sizing handle,,úchyt
slider,,posuvník
slider indicator,,táhlo
small capitals,,kapitálky (a)
Sound...,,Zvuky... (z)
Sound Recorder,,Záznam zvuku
Source (paper),,Zdroj (z)
source application,,zdrojová aplikace
source document,,zdrojový dokument
SPACEBAR,,MEZERNÍK
spin box,,èíselník 
spinner,,èíselník
Split,,Rozdìlit  (r)
split,,rozdìlit
Split,,Rozdìlit (r)
split bar,,pøíèka
split box,,dìlící táhlo
StartUp,,Spustit pøi startu
status bar,,stavový øádek
status-bar indicator,,indikátor na stavovém øádku
submenu,,podnabídka
switch,,pøepnout
Switch to,,Pøepnout,
Switch To...,,Pøepnout  (do jiné úlohy),"Pozn.: nikoliv ""Pøepnout se"""
SYS RQ,,klávesa SYS RQ,
TAB,,klávesa TAB,
Terminal,,Terminál,
text box,,textové pole,
text frame,,textový rám ,
Tile,,Dlaždice (d),
tiled windows,,dlaždicové uspoøádání oken (vedle sebe),
Time,,Èas (a),
title bar,,záhlaví,
To,,Do,
tool,,nástroj,
toolbar,,panel nástrojù,
toolbox,,souprava (nástrojù),
